The load Love numbers from the REAR package are attached. There are no 
more of these oscillations at high degree, and they go up to degree 32768.
November 20, 2015，Jean-Paul
CM: center of mass reference frame
    n     h' (vert)         l' (horiz)         k' (potent)
  322  -0.4059592393D+01  0.2989587805D-02  -0.5499521222D-02
  323  -0.4064133151D+01  0.2982426446D-02  -0.5489072931D-02
  324  -0.4068670208D+01  0.2975326556D-02  -0.5478696792D-02
  325  -0.4073128648D+01  0.2968273518D-02  -0.5468188295D-02
  326  -0.4077754772D+01  0.2961315876D-02  -0.5458216450D-02
  327  -0.4082298776D+01  0.2954379344D-02  -0.5448105004D-02
  328  -0.4086806288D+01  0.2947542053D-02  -0.5437966072D-02
  329  -0.4091310249D+01  0.2940740669D-02  -0.5427900381D-02
  330  -0.4095838832D+01  0.2934002821D-02  -0.5417978750D-02
  331  -0.4100334013D+01  0.2927318495D-02  -0.5408044594D-02
  332  -0.4104859072D+01  0.2920697136D-02  -0.5398266530D-02
  333  -0.4109358391D+01  0.2914127527D-02  -0.5388495679D-02
  334  -0.4113854958D+01  0.2907614439D-02  -0.5378792601D-02
  335  -0.4118374883D+01  0.2901163700D-02  -0.5369225213D-02
  336  -0.4122850586D+01  0.2894757193D-02  -0.5359615320D-02
  337  -0.4127350457D+01  0.2888412816D-02  -0.5350141576D-02
  338  -0.4131835207D+01  0.2882119893D-02  -0.5340700508D-02
  339  -0.4136315279D+01  0.2875879413D-02  -0.5331319093D-02
  340  -0.4140835917D+01  0.2869705479D-02  -0.5322113065D-02
  341  -0.4145273209D+01  0.2863558258D-02  -0.5312762685D-02
  342  -0.4149691474D+01  0.2857456167D-02  -0.5303434197D-02
  343  -0.4154216903D+01  0.2851444232D-02  -0.5294448590D-02
  344  -0.4158664086D+01  0.2845456967D-02  -0.5285331762D-02
  345  -0.4163136500D+01  0.2839529852D-02  -0.5276346985D-02
  346  -0.4167570560D+01  0.2833639381D-02  -0.5267332565D-02
  347  -0.4172039763D+01  0.2827813187D-02  -0.5258473347D-02
  348  -0.4176479123D+01  0.2822026017D-02  -0.5249605183D-02
  349  -0.4180914160D+01  0.2816286565D-02  -0.5240791888D-02
  350  -0.4185348226D+01  0.2810595108D-02  -0.5232041363D-02
  351  -0.4189793620D+01  0.2804957438D-02  -0.5223383309D-02
  352  -0.4194231095D+01  0.2799365077D-02  -0.5214769353D-02
  353  -0.4198651808D+01  0.2793813508D-02  -0.5206177373D-02
  354  -0.4203069833D+01  0.2788307967D-02  -0.5197641649D-02
  355  -0.4207470310D+01  0.2782841715D-02  -0.5189125349D-02
  356  -0.4211907866D+01  0.2777439034D-02  -0.5180761168D-02
  357  -0.4216312939D+01  0.2772067583D-02  -0.5172379086D-02
  358  -0.4220719858D+01  0.2766742775D-02  -0.5164062191D-02
  359  -0.4225105859D+01  0.2761453997D-02  -0.5155754990D-02
  360  -0.4229518697D+01  0.2756221411D-02  -0.5147572293D-02
  361  -0.4233889341D+01  0.2751014847D-02  -0.5139347292D-02
  362  -0.4238286118D+01  0.2745864830D-02  -0.5131243659D-02
  363  -0.4242660790D+01  0.2740747393D-02  -0.5123145580D-02
  364  -0.4247030039D+01  0.2735670585D-02  -0.5115092490D-02
  365  -0.4251409338D+01  0.2730648485D-02  -0.5107119690D-02
  366  -0.4255782441D+01  0.2725659786D-02  -0.5099189736D-02
  367  -0.4260154235D+01  0.2720712957D-02  -0.5091312943D-02
  368  -0.4264506421D+01  0.2715797845D-02  -0.5083446085D-02
  369  -0.4268857247D+01  0.2710923356D-02  -0.5075631617D-02
  370  -0.4273175981D+01  0.2706072451D-02  -0.5067797735D-02
  371  -0.4277561019D+01  0.2701298868D-02  -0.5060172108D-02
  372  -0.4281909724D+01  0.2696545840D-02  -0.5052516273D-02
  373  -0.4286236399D+01  0.2691821143D-02  -0.5044863321D-02
  374  -0.4290554096D+01  0.2687131069D-02  -0.5037243188D-02
  375  -0.4294895568D+01  0.2682493064D-02  -0.5029730511D-02
  376  -0.4299201299D+01  0.2677875084D-02  -0.5022188471D-02
  377  -0.4303526400D+01  0.2673306527D-02  -0.5014742649D-02
  378  -0.4307833344D+01  0.2668766056D-02  -0.5007307250D-02
  379  -0.4312133711D+01  0.2664259789D-02  -0.4999908305D-02
  380  -0.4316451791D+01  0.2659801645D-02  -0.4992600070D-02
  381  -0.4320744199D+01  0.2655365900D-02  -0.4985284497D-02
  382  -0.4325041236D+01  0.2650970203D-02  -0.4978029320D-02
  383  -0.4329322588D+01  0.2646602009D-02  -0.4970788812D-02
  384  -0.4333602447D+01  0.2642269421D-02  -0.4963594352D-02
